time,pm1,pm2.5,pm10,fullserwords
2016-11-10_22:43:05,9,13,16,
2016-11-10_22:43:06,9,13,16,
2016-11-10_22:43:06,9,13,16,
2016-11-10_22:43:07,9,13,16,
2016-11-10_22:43:08,9,13,16,
2016-11-10_22:43:09,9,13,16,
2016-11-10_22:43:10,9,13,16,
2016-11-10_22:43:11,9,13,16,
2016-11-10_22:43:11,9,13,16,
2016-11-10_22:43:12,9,13,17,
2016-11-10_22:43:13,9,13,17,
2016-11-10_22:43:14,9,13,17,
2016-11-10_22:43:15,9,13,16,
2016-11-10_22:43:16,9,13,16,
2016-11-10_22:43:16,9,13,16,
2016-11-10_22:43:17,9,13,16,
2016-11-10_22:43:18,9,13,16,
2016-11-10_22:43:19,9,13,16,
2016-11-10_22:43:20,9,13,17,
2016-11-10_22:43:20,9,13,17,
2016-11-10_22:43:21,9,13,17,
2016-11-10_22:43:22,8,11,14,
2016-11-10_22:43:23,8,11,14,
2016-11-10_22:43:24,8,11,14,
2016-11-10_22:43:25,8,11,14,
2016-11-10_22:43:25,8,11,14,
2016-11-10_22:43:26,8,11,14,
2016-11-10_22:43:27,9,13,16,
2016-11-10_22:43:28,9,13,16,
2016-11-10_22:43:29,9,13,16,
2016-11-10_22:43:30,8,13,16,
2016-11-10_22:43:30,8,13,15,
2016-11-10_22:43:31,8,13,15,
2016-11-10_22:43:32,9,13,18,
2016-11-10_22:43:33,9,13,18,
2016-11-10_22:43:34,9,13,18,
2016-11-10_22:43:35,9,13,18,
2016-11-10_22:43:36,9,13,18,
2016-11-10_22:43:36,9,13,18,
2016-11-10_22:43:37,9,13,17,
2016-11-10_22:43:38,9,13,17,
2016-11-10_22:43:39,9,13,17,
2016-11-10_22:43:40,9,11,17,
2016-11-10_22:43:41,9,11,17,
2016-11-10_22:43:41,9,11,17,
2016-11-10_22:43:42,9,13,17,
2016-11-10_22:43:43,9,13,17,
2016-11-10_22:43:44,9,13,17,
