time,pm1,pm2.5,pm10,fpm1,fpm2.5,fpm10
2016-11-25_17:10:14,8,9,12,8,9,12
2016-11-25_17:10:15,8,9,12,8,9,12
2016-11-25_17:10:15,8,10,12,8,10,12
2016-11-25_17:10:16,8,10,12,8,10,12
2016-11-25_17:10:17,8,10,12,8,10,12
2016-11-25_17:10:18,8,10,13,8,10,13
2016-11-25_17:10:19,8,10,13,8,10,13
2016-11-25_17:10:20,8,10,13,8,10,13
2016-11-25_17:10:21,8,10,11,8,10,11
2016-11-25_17:10:22,8,10,11,8,10,11
2016-11-25_17:10:23,8,10,11,8,10,11
2016-11-25_17:10:23,8,10,11,8,10,11
2016-11-25_17:10:24,8,10,11,8,10,11
2016-11-25_17:10:25,8,10,11,8,10,11
2016-11-25_17:10:26,8,9,10,8,9,10
2016-11-25_17:10:27,8,9,10,8,9,10
2016-11-25_17:10:28,8,9,10,8,9,10
2016-11-25_17:10:28,8,9,10,8,9,10
2016-11-25_17:10:29,8,9,10,8,9,10
2016-11-25_17:10:30,8,9,10,8,9,10
2016-11-25_17:10:31,7,8,9,7,8,9
2016-11-25_17:10:32,7,8,9,7,8,9
2016-11-25_17:10:32,7,8,9,7,8,9
2016-11-25_17:10:33,7,9,9,7,9,9
2016-11-25_17:10:34,6,9,9,6,9,9
2016-11-25_17:10:35,6,9,9,6,9,9
2016-11-25_17:10:36,6,9,10,6,9,10
2016-11-25_17:10:37,6,9,10,6,9,10
2016-11-25_17:10:37,6,9,10,6,9,10
2016-11-25_17:10:38,6,9,11,6,9,11
2016-11-25_17:10:39,6,9,11,6,9,11
2016-11-25_17:10:40,6,9,11,6,9,11
2016-11-25_17:10:41,6,8,11,6,8,11
2016-11-25_17:10:42,6,8,11,6,8,11
2016-11-25_17:10:42,6,8,11,6,8,11
2016-11-25_17:10:43,6,8,10,6,8,10
2016-11-25_17:10:44,6,8,10,6,8,10
2016-11-25_17:10:45,6,8,10,6,8,10
2016-11-25_17:10:46,8,9,11,8,9,11
2016-11-25_17:10:47,8,9,11,8,9,11
2016-11-25_17:10:47,8,9,11,8,9,11
